Run_ID,Exp,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt
na,prep,na,23,na,na,front,na,0.187,320,86.5,86.25,38.66851758,1,0.25,350,0.1,0.358,1.523,0.677,2.17,99.4,1.805
na,prep,na,23,na,na,back,na,0.187,320,86.5,86.25,38.66851758,2,0.25,350,0.1,0.389,1.938,0.887,2.59,45.1,2.129
na,prep,na,23,na,na,front,na,0.187,320,86.5,86.25,38.66851758,3,0.25,350,0.1,0.388,1.539,0.772,2.135,98.7,1.726
na,prep,na,23,na,na,back,na,0.187,320,86.5,86.25,38.66851758,4,0.25,350,0.1,0.302,1.379,0.498,2.105,47.4,1.565
na,prep,na,23,na,na,front,na,0.198,320,86,85.75,41.13152622,1,0.25,350,0.1,0.286,2.135,-0.645,4.779,56.7,2.307
na,prep,na,23,na,na,back,na,0.198,320,86,85.75,41.13152622,2,0.25,350,0.1,0.416,2.232,0.338,2.405,57.1,2.389
na,prep,na,23,na,na,front,na,0.198,320,86,85.75,41.13152622,3,0.25,350,0.1,0.355,2.092,0.176,2.773,52.5,2.291
na,prep,na,23,na,na,back,na,0.198,320,86,85.75,41.13152622,4,0.25,350,0.1,0.398,2.249,0.351,2.676,57.4,2.552
na,prep,na,23,na,na,front,na,0.203,320,85.5,85.25,43.58017329,1,0.25,350,0.1,0.337,1.621,-0.22,2.182,48.2,1.789
na,prep,na,23,na,na,back,na,0.203,320,85.5,85.25,43.58017329,2,0.25,350,0.1,0.437,2.271,-0.369,2.51,92.5,2.46
na,prep,na,23,na,na,front,na,0.203,320,85.5,85.25,43.58017329,3,0.25,350,0.1,0.328,1.756,-0.25,2.512,50.0,2.009
na,prep,na,23,na,na,back,na,0.203,320,85.5,85.25,43.58017329,4,0.25,350,0.1,0.505,2.434,-0.154,2.273,71.3,2.588
na,prep,na,23,na,na,front,na,0.225,320,85,84.75,46.0144588,1,0.25,350,0.1,0.468,2.232,-0.321,2.246,92.4,2.356
na,prep,na,23,na,na,back,na,0.225,320,85,84.75,46.0144588,2,0.25,350,0.1,0.372,2.376,-0.822,4.003,63.5,2.459
na,prep,na,23,na,na,front,na,0.225,320,85,84.75,46.0144588,3,0.25,350,0.1,0.445,2.271,0.004,2.269,63.3,2.643
na,prep,na,23,na,na,back,na,0.225,320,85,84.75,46.0144588,4,0.25,350,0.1,0.304,1.98,-0.336,2.995,50.3,2.353
na,prep,na,23,na,na,front,na,0.23,320,84.5,84.25,48.43438274,1,0.25,350,0.1,0.422,2.523,-1.545,4.901,74.6,2.679
na,prep,na,23,na,na,back,na,0.23,320,84.5,84.25,48.43438274,2,0.25,350,0.1,0.589,2.879,-1.243,3.175,99.6,3.154
na,prep,na,23,na,na,front,na,0.23,320,84.5,84.25,48.43438274,3,0.25,350,0.1,0.414,2.531,-1.786,5.35,93.0,2.691
na,prep,na,23,na,na,back,na,0.23,320,84.5,84.25,48.43438274,4,0.25,350,0.1,0.605,2.857,-1.223,3.193,89.8,2.941
